1,sys-1,svc-identity-and-access-service,Identity and Access Service,Non-Critical
1,sys-1,svc-mission-planning-platform,Mission Planning Platform,Critical
1,sys-10,svc-endpoint-protection-console,Endpoint Protection Console,Non-Critical
1,sys-11,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
1,sys-11,svc-operational-ticketing,Operational Ticketing,Non-Critical
1,sys-11,svc-secure-email-gateway,Secure Email Gateway,Critical
1,sys-12,svc-command-portal,Command Portal,Critical
1,sys-12,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
1,sys-13,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
1,sys-14,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
1,sys-14,svc-identity-and-access-service,Identity and Access Service,Critical
1,sys-15,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
1,sys-15,svc-operational-ticketing,Operational Ticketing,Non-Critical
1,sys-2,svc-data-lake-service,Data Lake Service,Non-Critical
1,sys-2,svc-endpoint-protection-console,Endpoint Protection Console,Non-Critical
1,sys-2,svc-identity-and-access-service,Identity and Access Service,Non-Critical
1,sys-3,svc-command-portal,Command Portal,Non-Critical
1,sys-3,svc-endpoint-protection-console,Endpoint Protection Console,Critical
1,sys-3,svc-identity-and-access-service,Identity and Access Service,Critical
1,sys-4,svc-endpoint-protection-console,Endpoint Protection Console,Non-Critical
1,sys-4,svc-vulnerability-management-service,Vulnerability Management Service,Critical
1,sys-5,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
1,sys-6,svc-mission-planning-platform,Mission Planning Platform,Non-Critical
1,sys-6,svc-secure-email-gateway,Secure Email Gateway,Non-Critical
1,sys-6,svc-vulnerability-management-service,Vulnerability Management Service,Non-Critical
1,sys-7,svc-mission-planning-platform,Mission Planning Platform,Critical
1,sys-7,svc-operational-ticketing,Operational Ticketing,Non-Critical
1,sys-7,svc-secure-email-gateway,Secure Email Gateway,Critical
1,sys-8,svc-data-lake-service,Data Lake Service,Non-Critical
1,sys-8,svc-mission-planning-platform,Mission Planning Platform,Non-Critical
1,sys-9,svc-vulnerability-management-service,Vulnerability Management Service,Critical
2,sys-1,svc-identity-and-access-service,Identity and Access Service,Non-Critical
2,sys-1,svc-mission-planning-platform,Mission Planning Platform,Critical
2,sys-10,svc-endpoint-protection-console,Endpoint Protection Console,Non-Critical
2,sys-11,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
2,sys-11,svc-operational-ticketing,Operational Ticketing,Non-Critical
2,sys-11,svc-secure-email-gateway,Secure Email Gateway,Critical
2,sys-12,svc-command-portal,Command Portal,Critical
2,sys-12,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
2,sys-13,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
2,sys-14,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
2,sys-14,svc-identity-and-access-service,Identity and Access Service,Critical
2,sys-15,svc-geo-intelligence-service,Geo Intelligence Service,Non-Critical
2,sys-15,svc-operational-ticketing,Operational Ticketing,Non-Critical
2,sys-2,svc-data-lake-service,Data Lake Service,Non-Critical
2,sys-2,svc-endpoint-protection-console,Endpoint Protection Console,Non-Critical
2,sys-2,svc-identity-and-access-service,Identity and Access Service,Non-Critical
